sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
63.15993310608191,110.42813739916366,1.3321227933612418,5.3241350975739484e-08,4.118136543266698,4.845368397476905e-07,5.81999397897189,-7.279714006898311e-08,2.821082043398073
62.57436725799957,95.7293883295342,1.6348461172880373,1.674096279983694e-08,5.156622529052126,-7.27563047102144e-08,4.593678063658566,3.89963874468686e-07,7.935223046466933
63.08720559923035,92.79232028630425,1.821438936654668,5.5697658276722974e-08,4.849642898817846,5.659932284526246e-07,4.368629282156426,4.5769355797189297e-07,6.3689636576314586
61.89614774620375,71.15301820061633,1.7278845268231986,8.021359611924513e-07,4.458797117683332,-4.1635442053032964e-07,5.662749265023118,8.962642181782667e-07,4.63653397504624
61.09084531478993,178.67812096524563,1.6014251972720657,-7.20112581775701e-07,4.118707344680938,9.773190490274696e-08,8.792411074493634,-1.1190396501790937e-06,5.313130070422352
60.8793024695666,107.21371309387217,1.3091032050115616,-5.950618999476951e-07,3.6639818347467537,-7.082785884699427e-07,8.12247936090223,2.432282023012626e-07,4.139426094257454
60.8793024695666,107.21371309387217,1.3091032050115616,-5.950618999476951e-07,3.6639818347467537,-7.082785884699427e-07,8.12247936090223,2.432282023012626e-07,4.139426094257454
57.35288998252053,91.39074430443307,2.0739184589741746,6.126411490754671e-07,3.0423463246831486,1.5807501303574542e-06,4.247409336053918,-1.1440320665896798e-06,4.185763705712233
57.35288998252053,91.39074430443307,2.0739184589741746,6.126411490754671e-07,3.0423463246831486,1.5807501303574542e-06,4.247409336053918,-1.1440320665896798e-06,4.185763705712233
57.35288998252053,91.39074430443307,2.0739184589741746,6.126411490754671e-07,3.0423463246831486,1.5807501303574542e-06,4.247409336053918,-1.1440320665896798e-06,4.185763705712233
57.386641763138215,83.25459616011135,1.8840058790286434,8.189373681283723e-07,3.1643020270146334,1.2860488960062051e-06,3.1876313106633436,-5.006564003377795e-07,3.5786955315223183
58.85427648223198,86.22242554099904,1.5686337078823251,1.0708065937803148e-06,3.9497207799288025,4.40664082721062e-07,3.4116114407702196,6.310650147185496e-07,4.646574717261306
61.84429879268744,127.63903988304304,1.5400870920227863,-7.838011997953701e-07,3.5329387511671104,-4.375772284176213e-07,12.773090902078609,-8.192456804840793e-07,5.80450436457447
