walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p

39	1.664271603e-02	8.467295306e-02	1.784647229e+00	4.126039349e-01	1.548730582e+00	-2.335004374e-01	4.626761342e-01	3.603241202e+00	-6.137217375e-01	1.318467515e-01	4.483370097e+00	-4.266382407e-01	-2.245511941e+03	-1.377032724e+01

40	3.104055002e+00	1.478956443e-01	2.349216186e-01	3.338744633e-01	2.944621902e-01	1.287175545e+00	1.032822369e-01	1.675475861e+00	-4.618668100e-01	6.807941122e-01	2.238618940e-01	-6.998913694e-01	-7.555542627e+05	-1.156953949e+01

41	8.086180813e-01	4.588043620e-01	2.590636882e+00	7.993339155e-01	3.113249102e+00	-9.554144034e-02	7.567967343e-01	1.327389502e+00	-8.255705737e-02	7.753316598e-01	1.783206034e+00	3.945289832e-02	-4.190052716e+05	-1.400284305e+01

42	5.357412081e-01	1.017032394e+00	2.588432095e+00	1.156114037e+00	2.682375196e+00	-7.100293558e-01	8.536042907e-01	1.110701251e+00	-3.760240784e-01	1.011272723e+00	2.845657155e+00	-2.649308088e-01	-2.435999521e+05	-1.565268015e+01

43	7.603827480e-01	9.245873611e-01	2.288024765e+00	1.524427257e+00	1.257371135e+00	5.945463791e-01	1.805605621e+00	2.081749339e+00	-7.758304431e-02	5.637084092e-01	5.356942044e+00	1.421688424e-01	-4.156676515e+05	-1.748837163e+01

44	1.018647930e-02	5.007073329e-01	3.088663500e-01	2.755570009e-01	1.438210894e+00	-1.520256271e+00	2.923795896e-01	4.914006987e-01	-3.234136299e+00	1.301808647e+00	2.992762210e+00	-3.729228448e-01	-9.498469712e+03	-1.676770470e+01

45	1.235079611e-01	1.022080990e-03	7.949538239e-01	8.329839946e-01	1.634149583e+00	-7.344300195e-01	1.168476328e+00	2.039943554e+00	-6.635369648e-01	1.009985765e+00	1.515387423e+01	-6.438756264e-01	-9.673184712e+03	-1.836143526e+01

46	5.021780519e-01	6.377256702e-01	2.509672376e+00	6.648807438e-01	1.946385012e+00	-1.408809662e-01	8.068099771e-01	2.380955155e+00	-2.592627745e-01	6.038156555e-01	2.428738891e+00	-3.094097501e-01	-1.823087672e+05	-1.421958502e+01

47	3.387798995e-01	8.171010154e-01	1.120015527e+00	9.888248709e-01	9.521321609e-01	-2.886362559e-01	8.644924149e-01	1.295397240e+00	6.528987001e-02	9.895925244e-01	1.532205672e+00	-1.188085556e-01	-1.328147535e+05	-1.153131258e+01

48	4.955727043e+00	3.051542698e-01	2.512895862e+00	1.824733330e-01	3.687198825e-01	8.518534875e-01	1.709494319e+00	1.545089873e+00	1.583889297e+00	5.114838796e-01	5.054071384e-02	1.359527524e+00	-5.154148503e+05	-1.920745189e+01

49	1.919922255e-01	8.480151251e-01	2.096714357e+00	1.306270696e+00	1.353783940e+00	6.024266575e-01	1.092917381e+00	1.401806694e+00	-5.471013331e-02	1.300692954e+00	2.526945826e+00	2.192074126e-01	-5.358270469e+04	-1.431531262e+01
0	1.541514503e-01	4.588636099e-01	8.728534911e-01	2.309956418e+00	2.705783878e+00	-7.082750495e-01	1.238396596e+00	1.642402526e+00	8.693939767e-02	9.821239289e-01	3.554954135e+00	-2.657752069e-01	-2.541378915e+04	-1.619675751e+01

1	2.790366859e-02	2.003455174e+00	9.736596774e-01	1.155033184e+00	1.185576004e+00	-1.927352768e-01	1.252416209e+00	9.453653598e-01	-8.920545275e-01	1.345948467e+00	3.555915998e+00	5.269190167e-01	-6.356235906e+03	-1.518069093e+01

2	6.019417441e-01	5.174465077e-01	9.192432483e-01	1.129101743e+00	9.755742944e-01	-2.169221932e-01	9.956011628e-01	7.172018440e-01	-3.009725997e-02	7.617546607e-01	2.681814488e+00	1.278594939e-01	-2.568722409e+05	-1.181617521e+01

3	3.440951528e-01	5.080153767e-01	3.496253070e+00	6.259640718e-01	2.794376521e+00	1.314949681e-01	5.955688462e-01	9.368405866e-01	-8.050875598e-03	8.118634649e-01	2.417266753e+00	7.083554402e-02	-9.412292255e+04	-1.371577249e+01

4	3.576540888e-02	4.061951983e-01	7.218910910e-01	1.621251087e+00	5.398564928e+00	6.916842568e-01	2.583598762e-01	8.566830918e-01	6.726046752e-01	2.963895074e-01	4.889238048e+00	5.099548205e-02	-4.704000024e+03	-1.539178618e+01

5	1.748540987e-02	6.874238199e-01	7.345789462e-01	2.681843251e+00	9.247055983e-01	-2.199965472e+00	1.470087530e+00	5.866736834e-02	5.211445220e-01	2.915832545e-01	1.786261243e+00	3.889544997e-01	-1.022221753e+04	-1.614110867e+01

6	4.521110433e-01	3.670806603e-01	2.312615606e+00	6.041164696e-01	1.260064555e+00	-1.478352020e-01	5.836568842e-01	2.752907256e+00	-3.959973071e-01	4.234099394e-01	4.027756285e+00	1.748461344e-02	-1.364075416e+05	-1.405633129e+01

7	2.805253292e-02	7.614995890e-01	2.198299385e+00	2.165580996e+00	1.923575819e+00	1.638130885e+00	9.028068104e-01	1.192751788e+00	5.504058079e-01	1.767304188e+00	3.726670379e+00	1.867735345e-01	-4.977224884e+03	-1.770190828e+01

8	1.685206471e-02	2.056784627e+00	1.133151041e+00	1.024271433e+00	2.611524928e-01	4.546228542e-01	2.329517846e-01	1.406285290e+00	-2.967895541e-01	2.115630067e+00	1.938514001e+00	-1.019349477e-01	-3.184401206e+03	-1.316468696e+01

9	4.410276339e-01	4.720887715e-02	1.493827642e+00	2.060885186e+00	9.551391121e-02	-6.669586361e-01	3.521128988e+00	1.628439065e-02	-1.475992403e+00	1.488878701e+00	1.454353983e-01	1.059282253e+00	-1.286059062e+04	-2.106070700e+01

10	2.519554379e-01	4.473242977e-01	1.512853529e+00	7.578328826e-01	2.362407646e+00	-1.934813863e-01	6.349333825e-01	2.071226681e+00	3.077850173e-01	1.074720365e+00	4.153547037e+00	-1.538757301e-01	-4.980045448e+04	-1.484509133e+01

11	1.076816872e-01	1.110944044e+00	4.294778582e+00	3.677455559e-01	1.209446218e+01	-2.662926316e+00	1.251423057e-01	3.713755546e+00	6.400357410e-01	4.906653229e-01	7.958246112e+00	4.621087175e-01	-2.637348707e+04	-2.656019927e+01

12	4.006670368e-02	1.870931923e+00	1.044090781e+00	1.947605359e+00	5.577703325e+00	-7.936532119e-02	1.072859897e+00	8.192040782e-01	4.689779513e-01	1.041692744e+00	2.280807317e+00	-9.362574395e-02	-9.189585428e+03	-1.694826240e+01

13	3.803877891e-01	5.692223450e-01	1.539154955e+00	1.271055961e+00	1.469475526e+00	6.845738897e-01	6.467585130e-01	1.336841690e+00	7.276159287e-02	1.081898509e+00	3.462122552e+00	-6.129276903e-02	-1.132532119e+05	-1.394755633e+01

14	4.475540034e-01	8.555951635e-01	1.162534911e+00	7.131838784e-01	1.588300301e+00	7.666494070e-01	2.363882888e-01	1.120014125e+00	-2.156405800e-01	8.602659173e-01	1.417172975e+00	1.709762840e-01	-1.890240438e+05	-1.128698924e+01

15	4.825615669e-01	1.202466680e-01	9.953747173e-01	5.120284373e-01	3.532422111e-01	-1.263115168e-01	3.299101526e-01	3.909158591e+00	-4.945920326e-01	3.225894980e+00	6.531216447e+00	-1.709954934e+00	-1.329625882e+05	-1.834321082e+01

16	5.526144510e-02	4.256116562e-01	4.599909650e-01	2.171112216e+00	2.997417511e+00	7.399201090e-01	6.124674921e-01	1.811415462e+00	-3.253992777e-01	1.641606141e+00	6.373857988e+00	-5.998758312e-01	-6.759474429e+03	-1.779974151e+01

17	2.268977251e-01	4.774695014e-01	2.534328272e+00	1.367895905e+00	1.893204478e+00	-2.511677972e-01	1.544817131e+00	9.627539088e-01	-5.742405413e-01	1.032834479e+00	1.014215061e+00	4.589375710e-01	-5.623877941e+04	-1.328461308e+01

18	7.724023188e-01	9.373962859e-01	4.176762834e-01	1.963958558e-01	9.594256950e-01	-1.150328274e+00	1.049193357e+00	1.307370180e+00	2.592742689e-01	2.692520137e-01	1.662261066e+00	6.495886039e-02	-4.707123547e+05	-1.114755632e+01

19	3.210836429e+00	4.299627196e-01	1.645281029e+00	2.122641166e-01	3.111120176e+00	-3.236030067e-01	3.168435106e-01	1.189899161e+00	4.251291437e-01	2.173108062e+00	1.837221210e+00	5.236935949e-01	-5.942916945e+06	-1.639872932e+01

20	3.238189683e-01	6.522367530e-01	1.652247619e+00	6.601918143e-01	3.822305271e+00	-6.704665699e-01	5.761292707e-01	1.859218102e+00	-2.723230504e-01	8.615206772e-01	6.396949761e+00	1.203613113e-01	-8.524902279e+04	-1.699156551e+01

21	4.281243008e-01	3.270127591e-01	9.119965755e-01	4.033037491e-01	8.223809993e+00	1.008054713e-01	4.398200144e-02	4.978117526e+00	1.559901172e-02	3.391994570e+00	7.168226522e-01	-6.357995403e-01	-1.312531487e+05	-1.834681233e+01

22	2.706148953e-01	8.916623778e-01	1.411348310e+00	8.488844616e-01	1.437119559e+00	1.897814162e-01	5.706576638e-01	1.966579594e+00	-3.512939171e-01	7.332645444e-01	3.572449096e+00	-4.576287402e-02	-7.966156594e+04	-1.369619482e+01

23	3.647776331e-01	1.199493015e-02	1.089269393e-01	9.559540406e-01	3.439144571e-01	-8.658438725e-02	5.896482685e-01	1.754694502e+00	4.593383414e-01	8.465049425e-01	1.384233805e+00	-1.062508661e+00	-4.787944655e+04	-1.019468420e+01

24	7.041502203e-02	7.048828867e-01	2.447479285e-01	1.149798212e+00	1.819201398e+00	-3.144918156e-02	6.733760529e-01	2.065807691e+00	3.576245999e-02	1.062322185e+00	3.782588403e+00	-4.950457756e-01	-1.369079616e+04	-1.399375821e+01

25	1.038397153e-02	5.574323842e-01	8.842217545e-01	4.339762976e-01	9.559304764e-01	-4.709335988e-01	1.068877382e+00	1.600130201e+00	-1.044411570e+00	5.479532045e-01	1.379803234e+00	1.301414813e+00	-3.333442137e+03	-1.161903324e+01

26	1.804521796e-01	3.398935737e-01	1.510506272e+00	1.074091085e+00	2.734664798e+00	-3.938718661e-01	7.542293587e-01	1.959748885e+00	-1.286321203e-01	1.012827709e+00	8.372144094e+00	-2.681792498e-01	-2.645162416e+04	-1.721586254e+01

27	6.783218438e-02	5.897180543e-01	7.167250758e-01	4.130950959e+00	1.714703454e+00	5.741599666e-01	1.277775449e+00	1.372659813e+00	-3.844552637e-01	3.169650657e+00	8.683884641e-01	-7.007790057e-01	-1.488788525e+04	-1.713349136e+01

28	2.508058842e-02	3.518922813e+00	1.169946021e+00	1.750124805e-01	9.310497976e-01	-7.219251612e-01	2.040719258e+00	6.635731917e-01	4.248919477e-02	8.848496198e-01	2.057163236e-01	1.226470628e+00	-5.131557631e+03	-1.367972903e+01

29	4.600917799e-02	3.815283598e-01	2.984325611e+00	7.396201358e-02	1.711005957e+00	-1.409089312e+00	7.171977576e-01	2.069096682e+00	-1.713418716e-01	2.943469303e+00	2.972851010e+00	-8.982944276e-01	-6.470875488e+03	-1.669572818e+01

30	1.182070481e+00	1.674115208e-01	4.038069905e+00	9.554638962e-01	2.652625555e-01	9.175413286e-01	1.585548743e+00	3.352522431e-01	-9.628334191e-01	8.951299102e-01	7.307145875e-01	5.642668711e-01	-2.067620435e+05	-1.298138167e+01

31	1.251968060e-01	8.094926919e-01	1.275851656e+00	2.084101298e-01	1.451543806e+00	5.792540339e-01	3.571312341e-01	2.684662207e+00	-1.948275469e-01	2.030205356e-01	4.244757099e+00	-8.563913699e-01	-2.696629730e+04	-1.347164337e+01

32	2.236955873e-02	1.326724473e+00	7.125265548e-01	2.213973986e+00	9.757329942e-01	-1.908033258e-01	1.447209155e+00	8.215480919e-01	-1.116581167e+00	2.081450872e+00	6.208099215e+00	3.046536634e-01	-5.771180761e+03	-1.756147214e+01

33	1.402358826e-02	9.642537489e-01	1.481986968e+00	1.716533681e+00	7.245328129e+00	1.880970047e-01	6.171944161e-01	1.381219596e+00	3.834311757e-01	9.969180175e-01	7.941740129e-01	6.841019822e-01	-2.852034457e+03	-1.566942843e+01

34	3.865769629e+00	2.501148982e-01	2.928224630e+00	1.625417708e+00	1.843718788e+00	-1.869380515e-01	8.007174520e-01	2.521888199e-01	9.432470066e-01	4.589937144e-01	2.636678964e-01	1.825592722e-01	-1.693329993e+06	-1.514099551e+01

35	5.996413159e-02	6.472097317e-01	9.165232905e-01	9.245058655e-01	1.052490807e+00	4.382367380e-01	6.759156112e-01	1.774341614e+00	-1.264368016e-01	5.141346640e-01	4.373789987e+00	-1.672486855e-01	-1.119912395e+04	-1.289956022e+01

36	3.092925710e-02	1.147365415e+00	2.423718866e-01	5.300755626e-01	1.137161874e+00	5.620568079e-01	4.470317107e-01	1.113633199e+00	2.242069466e-01	2.124226227e-01	5.365566261e+00	-4.354736332e-02	-5.744164208e+03	-1.211969071e+01

37	2.202439798e-02	8.631682997e-01	1.071054092e+00	7.790554358e-01	3.978986154e-01	5.755127584e-01	4.256986223e-01	2.318307250e+00	-8.835412032e-01	1.905658190e-01	2.944049206e+00	-1.634742969e-01	-4.173653521e+03	-1.190193709e+01

38	3.262690792e-01	1.211244842e+00	1.080678259e+00	1.212976180e+00	1.842422207e+00	5.279981603e-01	7.285064606e-01	1.235641776e+00	-3.985671790e-01	1.201037417e+00	2.049704149e+00	5.857890307e-03	-1.360599506e+05	-1.360324305e+01

39	1.664271603e-02	8.467295306e-02	1.784647229e+00	4.126039349e-01	1.548730582e+00	-2.335004374e-01	4.626761342e-01	3.603241202e+00	-6.137217375e-01	1.318467515e-01	4.483370097e+00	-4.266382407e-01	-2.245511941e+03	-1.377032724e+01

40	3.104055002e+00	1.478956443e-01	2.349216186e-01	3.338744633e-01	2.944621902e-01	1.287175545e+00	1.032822369e-01	1.675475861e+00	-4.618668100e-01	6.807941122e-01	2.238618940e-01	-6.998913694e-01	-7.555542627e+05	-1.156953949e+01

41	8.038345562e-01	4.583196422e-01	2.593106326e+00	7.947839625e-01	3.104453420e+00	-1.037807740e-01	7.565483466e-01	1.332041919e+00	-8.311396719e-02	7.889314758e-01	1.790668177e+00	3.357080354e-02	-4.143070852e+05	-1.401347374e+01

42	3.169712582e-01	1.455404534e+00	1.974867970e+00	1.100527598e+00	1.661558368e+00	-2.189978727e-01	5.919296740e-01	1.235323063e+00	-3.426178430e-01	1.476883160e+00	2.463194610e+00	-1.962097789e-01	-1.507464747e+05	-1.442146048e+01

43	7.603827480e-01	9.245873611e-01	2.288024765e+00	1.524427257e+00	1.257371135e+00	5.945463791e-01	1.805605621e+00	2.081749339e+00	-7.758304431e-02	5.637084092e-01	5.356942044e+00	1.421688424e-01	-4.156676515e+05	-1.748837163e+01

44	1.018647930e-02	5.007073329e-01	3.088663500e-01	2.755570009e-01	1.438210894e+00	-1.520256271e+00	2.923795896e-01	4.914006987e-01	-3.234136299e+00	1.301808647e+00	2.992762210e+00	-3.729228448e-01	-9.498469712e+03	-1.676770470e+01

45	1.235079611e-01	1.022080990e-03	7.949538239e-01	8.329839946e-01	1.634149583e+00	-7.344300195e-01	1.168476328e+00	2.039943554e+00	-6.635369648e-01	1.009985765e+00	1.515387423e+01	-6.438756264e-01	-9.673184712e+03	-1.836143526e+01

46	4.870494375e-01	6.292162839e-01	2.389116073e+00	7.401789730e-01	1.887143989e+00	-3.834412994e-02	7.869286103e-01	2.251256855e+00	-2.180191766e-01	6.632024322e-01	2.557104349e+00	-2.785890092e-01	-1.724989362e+05	-1.415941035e+01

47	3.387798995e-01	8.171010154e-01	1.120015527e+00	9.888248709e-01	9.521321609e-01	-2.886362559e-01	8.644924149e-01	1.295397240e+00	6.528987001e-02	9.895925244e-01	1.532205672e+00	-1.188085556e-01	-1.328147535e+05	-1.153131258e+01

48	4.955727043e+00	3.051542698e-01	2.512895862e+00	1.824733330e-01	3.687198825e-01	8.518534875e-01	1.709494319e+00	1.545089873e+00	1.583889297e+00	5.114838796e-01	5.054071384e-02	1.359527524e+00	-5.154148503e+05	-1.920745189e+01

49	1.919922255e-01	8.480151251e-01	2.096714357e+00	1.306270696e+00	1.353783940e+00	6.024266575e-01	1.092917381e+00	1.401806694e+00	-5.471013331e-02	1.300692954e+00	2.526945826e+00	2.192074126e-01	-5.358270469e+04	-1.431531262e+01
0	1.541514503e-01	4.588636099e-01	8.728534911e-01	2.309956418e+00	2.705783878e+00	-7.082750495e-01	1.238396596e+00	1.642402526e+00	8.693939767e-02	9.821239289e-01	3.554954135e+00	-2.657752069e-01	-2.541378915e+04	-1.619675751e+01

1	2.673582282e-02	1.776951023e+00	9.930058961e-01	1.080349767e+00	1.029113449e+00	-4.013212678e-02	1.088198792e+00	1.218083607e+00	-8.903634589e-01	1.116445724e+00	3.434376084e+00	3.897807624e-01	-5.813719565e+03	-1.445079530e+01

2	6.019417441e-01	5.174465077e-01	9.192432483e-01	1.129101743e+00	9.755742944e-01	-2.169221932e-01	9.956011628e-01	7.172018440e-01	-3.009725997e-02	7.617546607e-01	2.681814488e+00	1.278594939e-01	-2.568722409e+05	-1.181617521e+01

3	3.440951528e-01	5.080153767e-01	3.496253070e+00	6.259640718e-01	2.794376521e+00	1.314949681e-01	5.955688462e-01	9.368405866e-01	-8.050875598e-03	8.118634649e-01	2.417266753e+00	7.083554402e-02	-9.412292255e+04	-1.371577249e+01

4	3.780136415e-02	9.712260905e-02	6.607611995e-01	1.743211373e+00	6.383771525e+00	8.566913138e-01	7.125108724e-02	7.751959364e-01	1.025016534e+00	1.114864827e-01	5.217274556e+00	-2.539247992e-02	-2.755770460e+03	-1.578118116e+01

5	2.181302994e-02	9.142386988e-01	7.938957259e-01	2.541129319e+00	1.816435121e+00	-1.793560425e+00	1.393960348e+00	2.044213698e-01	5.111469948e-01	4.353389184e-01	1.881039139e+00	2.964698101e-01	-8.522134775e+03	-1.490479798e+01

6	4.521110433e-01	3.670806603e-01	2.312615606e+00	6.041164696e-01	1.260064555e+00	-1.478352020e-01	5.836568842e-01	2.752907256e+00	-3.959973071e-01	4.234099394e-01	4.027756285e+00	1.748461344e-02	-1.364075416e+05	-1.405633129e+01

7	2.805253292e-02	7.614995890e-01	2.198299385e+00	2.165580996e+00	1.923575819e+00	1.638130885e+00	9.028068104e-01	1.192751788e+00	5.504058079e-01	1.767304188e+00	3.726670379e+00	1.867735345e-01	-4.977224884e+03	-1.770190828e+01

8	1.685206471e-02	2.056784627e+00	1.133151041e+00	1.024271433e+00	2.611524928e-01	4.546228542e-01	2.329517846e-01	1.406285290e+00	-2.967895541e-01	2.115630067e+00	1.938514001e+00	-1.019349477e-01	-3.184401206e+03	-1.316468696e+01

9	4.410276339e-01	4.720887715e-02	1.493827642e+00	2.060885186e+00	9.551391121e-02	-6.669586361e-01	3.521128988e+00	1.628439065e-02	-1.475992403e+00	1.488878701e+00	1.454353983e-01	1.059282253e+00	-1.286059062e+04	-2.106070700e+01

10	2.519554379e-01	4.473242977e-01	1.512853529e+00	7.578328826e-01	2.362407646e+00	-1.934813863e-01	6.349333825e-01	2.071226681e+00	3.077850173e-01	1.074720365e+00	4.153547037e+00	-1.538757301e-01	-4.980045448e+04	-1.484509133e+01

11	1.059245781e-01	1.087971930e+00	4.166237773e+00	4.281938084e-01	1.178953226e+01	-2.548864032e+00	1.414772843e-01	3.649989737e+00	6.076746793e-01	5.292444775e-01	7.905137948e+00	4.265113476e-01	-2.563464717e+04	-2.609606117e+01

12	4.006670368e-02	1.870931923e+00	1.044090781e+00	1.947605359e+00	5.577703325e+00	-7.936532119e-02	1.072859897e+00	8.192040782e-01	4.689779513e-01	1.041692744e+00	2.280807317e+00	-9.362574395e-02	-9.189585428e+03	-1.694826240e+01

13	4.131667081e-01	1.111699454e-01	1.313942358e+00	1.359199152e+00	1.370191194e+00	1.151614662e+00	6.750986010e-01	1.389314930e+00	2.874641109e-01	8.777377051e-01	3.978451301e+00	8.443523220e-03	-1.023701341e+05	-1.405098916e+01

14	4.475540034e-01	8.555951635e-01	1.162534911e+00	7.131838784e-01	1.588300301e+00	7.666494070e-01	2.363882888e-01	1.120014125e+00	-2.156405800e-01	8.602659173e-01	1.417172975e+00	1.709762840e-01	-1.890240438e+05	-1.128698924e+01

15	4.082534038e-01	1.890480424e-01	9.778822048e-01	4.997451117e-01	4.480892737e-01	-1.805458433e-01	4.462038904e-01	3.545779092e+00	-5.811189672e-01	2.804458350e+00	5.720521367e+00	-1.236045632e+00	-1.038095437e+05	-1.678759103e+01

16	5.526144510e-02	4.256116562e-01	4.599909650e-01	2.171112216e+00	2.997417511e+00	7.399201090e-01	6.124674921e-01	1.811415462e+00	-3.253992777e-01	1.641606141e+00	6.373857988e+00	-5.998758312e-01	-6.759474429e+03	-1.779974151e+01

17	2.268977251e-01	4.774695014e-01	2.534328272e+00	1.367895905e+00	1.893204478e+00	-2.511677972e-01	1.544817131e+00	9.627539088e-01	-5.742405413e-01	1.032834479e+00	1.014215061e+00	4.589375710e-01	-5.623877941e+04	-1.328461308e+01

18	7.369379629e-01	9.416609708e-01	1.076882706e+00	6.837284450e-01	1.073085469e+00	-4.564580567e-01	1.293450800e+00	1.575206099e+00	1.377461485e-01	3.718042893e-01	3.134750682e+00	8.791298807e-02	-4.105863753e+05	-1.326625055e+01

19	3.210836429e+00	4.299627196e-01	1.645281029e+00	2.122641166e-01	3.111120176e+00	-3.236030067e-01	3.168435106e-01	1.189899161e+00	4.251291437e-01	2.173108062e+00	1.837221210e+00	5.236935949e-01	-5.942916945e+06	-1.639872932e+01

20	2.847486812e-01	6.446902987e-01	1.759209515e+00	8.180391600e-01	3.258757283e+00	-3.250747606e-01	7.302060767e-01	1.773275555e+00	-2.010806670e-01	9.426847731e-01	5.558620713e+00	1.762577335e-01	-6.885231582e+04	-1.639011289e+01

21	4.281243008e-01	3.270127591e-01	9.119965755e-01	4.033037491e-01	8.223809993e+00	1.008054713e-01	4.398200144e-02	4.978117526e+00	1.559901172e-02	3.391994570e+00	7.168226522e-01	-6.357995403e-01	-1.312531487e+05	-1.834681233e+01

22	2.706148953e-01	8.916623778e-01	1.411348310e+00	8.488844616e-01	1.437119559e+00	1.897814162e-01	5.706576638e-01	1.966579594e+00	-3.512939171e-01	7.332645444e-01	3.572449096e+00	-4.576287402e-02	-7.966156594e+04	-1.369619482e+01

23	2.327863683e-01	2.870575657e-01	4.586347551e-01	9.423362566e-01	6.507443325e-01	1.406752446e-01	6.270040143e-01	1.763202154e+00	2.056842164e-01	7.025809587e-01	2.678780470e+00	-6.748404771e-01	-4.318816354e+04	-1.125985954e+01

24	6.407717053e-02	5.880801282e-01	3.347714528e-01	1.576953894e+00	2.311980020e+00	2.911693023e-01	6.479015781e-01	1.959410358e+00	-1.152902895e-01	1.304602651e+00	4.866364326e+00	-5.388900328e-01	-1.014676808e+04	-1.557661110e+01

25	1.038397153e-02	5.574323842e-01	8.842217545e-01	4.339762976e-01	9.559304764e-01	-4.709335988e-01	1.068877382e+00	1.600130201e+00	-1.044411570e+00	5.479532045e-01	1.379803234e+00	1.301414813e+00	-3.333442137e+03	-1.161903324e+01

26	1.698945576e-01	3.299307976e-01	1.480251500e+00	1.085589289e+00	2.763849026e+00	-4.061144004e-01	7.531033658e-01	1.949710860e+00	-1.255540930e-01	1.024866993e+00	8.572383953e+00	-2.678207915e-01	-2.382725684e+04	-1.729207928e+01

27	6.783218438e-02	5.897180543e-01	7.167250758e-01	4.130950959e+00	1.714703454e+00	5.741599666e-01	1.277775449e+00	1.372659813e+00	-3.844552637e-01	3.169650657e+00	8.683884641e-01	-7.007790057e-01	-1.488788525e+04	-1.713349136e+01

28	2.508058842e-02	3.518922813e+00	1.169946021e+00	1.750124805e-01	9.310497976e-01	-7.219251612e-01	2.040719258e+00	6.635731917e-01	4.248919477e-02	8.848496198e-01	2.057163236e-01	1.226470628e+00	-5.131557631e+03	-1.367972903e+01

29	4.600917799e-02	3.815283598e-01	2.984325611e+00	7.396201358e-02	1.711005957e+00	-1.409089312e+00	7.171977576e-01	2.069096682e+00	-1.713418716e-01	2.943469303e+00	2.972851010e+00	-8.982944276e-01	-6.470875488e+03	-1.669572818e+01

30	1.182070481e+00	1.674115208e-01	4.038069905e+00	9.554638962e-01	2.652625555e-01	9.175413286e-01	1.585548743e+00	3.352522431e-01	-9.628334191e-01	8.951299102e-01	7.307145875e-01	5.642668711e-01	-2.067620435e+05	-1.298138167e+01

31	1.251968060e-01	8.094926919e-01	1.275851656e+00	2.084101298e-01	1.451543806e+00	5.792540339e-01	3.571312341e-01	2.684662207e+00	-1.948275469e-01	2.030205356e-01	4.244757099e+00	-8.563913699e-01	-2.696629730e+04	-1.347164337e+01

32	2.245621029e-02	1.318106165e+00	7.351809839e-01	2.213236111e+00	9.901852965e-01	-1.629165187e-01	1.438908340e+00	8.272080472e-01	-1.091163662e+00	2.076660897e+00	6.170263448e+00	3.028562776e-01	-5.646335183e+03	-1.752103668e+01

33	1.402358826e-02	9.642537489e-01	1.481986968e+00	1.716533681e+00	7.245328129e+00	1.880970047e-01	6.171944161e-01	1.381219596e+00	3.834311757e-01	9.969180175e-01	7.941740129e-01	6.841019822e-01	-2.852034457e+03	-1.566942843e+01

34	3.865769629e+00	2.501148982e-01	2.928224630e+00	1.625417708e+00	1.843718788e+00	-1.869380515e-01	8.007174520e-01	2.521888199e-01	9.432470066e-01	4.589937144e-01	2.636678964e-01	1.825592722e-01	-1.693329993e+06	-1.514099551e+01

35	5.024026455e-02	6.820352943e-01	1.307096650e+00	1.302677128e+00	1.317921409e+00	8.038596349e-01	7.450522244e-01	1.597123851e+00	7.980568755e-02	8.959912409e-01	4.176604472e+00	-5.937364512e-02	-8.835484915e+03	-1.417180994e+01

36	3.092925710e-02	1.147365415e+00	2.423718866e-01	5.300755626e-01	1.137161874e+00	5.620568079e-01	4.470317107e-01	1.113633199e+00	2.242069466e-01	2.124226227e-01	5.365566261e+00	-4.354736332e-02	-5.744164208e+03	-1.211969071e+01

37	2.202439798e-02	8.631682997e-01	1.071054092e+00	7.790554358e-01	3.978986154e-01	5.755127584e-01	4.256986223e-01	2.318307250e+00	-8.835412032e-01	1.905658190e-01	2.944049206e+00	-1.634742969e-01	-4.173653521e+03	-1.190193709e+01

38	3.262690792e-01	1.211244842e+00	1.080678259e+00	1.212976180e+00	1.842422207e+00	5.279981603e-01	7.285064606e-01	1.235641776e+00	-3.985671790e-01	1.201037417e+00	2.049704149e+00	5.857890307e-03	-1.360599506e+05	-1.360324305e+01

39	1.664271603e-02	8.467295306e-02	1.784647229e+00	4.126039349e-01	1.548730582e+00	-2.335004374e-01	4.626761342e-01	3.603241202e+00	-6.137217375e-01	1.318467515e-01	4.483370097e+00	-4.266382407e-01	-2.245511941e+03	-1.377032724e+01

40	3.104055002e+00	1.478956443e-01	2.349216186e-01	3.338744633e-01	2.944621902e-01	1.287175545e+00	1.032822369e-01	1.675475861e+00	-4.618668100e-01	6.807941122e-01	2.238618940e-01	-6.998913694e-01	-7.555542627e+05	-1.156953949e+01

41	7.024606777e-01	4.595139292e-01	2.633025168e+00	8.193175105e-01	3.104172641e+00	-9.452268715e-02	7.750670628e-01	1.338028438e+00	-1.045192581e-01	7.306351568e-01	1.788707538e+00	1.292867241e-02	-3.218502695e+05	-1.392494053e+01

42	2.949771024e-01	1.114381785e+00	1.818573432e+00	9.845976452e-01	1.898648174e+00	-2.103659186e-01	6.064773681e-01	1.518100306e+00	-1.225935201e-01	1.340835793e+00	3.035022735e+00	-1.818886235e-01	-1.041379228e+05	-1.457714974e+01

